record_id,company_name,HS_industry,HS_empleados,HS_domain,Enrich.Domain,Enrich.Industry,Enrich.Sub-industry,Enrich.Empleados,confidence,status,skip_reason,✓ Industry subida HS,✓ Empleados subido HS,✓ Domain subido HS
53009344409,Aislamientos CEA,,,aislamientoscea.com,aislamientoscea.com,Industrial & Facilities Services,Maintenance,16,high,enriched,,SI,SI,
53017826825,(sin nombre),,,bujanda.com,bujanda.com,Consumer Goods,Beverages,50,medium,enriched,,,,
52983753817,Camping El Naranjal,,,campingelnaranjal.com,campingelnaranjal.com,Hospitality,Tourism & Leisure,5,high,enriched,,SI,SI,
53026414633,Consolat de Mar,,,consolatdemar.com,consolatdemar.com,Retail,Specialized Trade,7,medium,enriched,,SI,SI,
53009624863,Enova Energía,,,enovaenerxia.com,enova-enerxia.com,Energy & Utilities,Renewables,17,high,enriched,,SI,SI,
53021447014,Familia Martinez Bujanda,,,familiamartinezbujanda.com,familiamartinezbujanda.com,Consumer Goods,Beverages,50,high,enriched,,SI,SI,
53025508124,Federació Catalana de Hockey,,,fchockey.org,fchockey.cat,Media & Entertainment,Events & Culture,30,medium,enriched,,SI,SI,
52951039656,Fluidnatek,,,fluidnatek.com,fluidnatek.com,Technology,Hardware,11,high,enriched,,SI,SI,
53013314053,Fundación Balia,,,fundacionbalia.org,fundacionbalia.org,Public Sector & Non-Profit,Foundations & NGOs,80,high,enriched,,SI,SI,
53013619819,GyO,,,gyo.es,gyo.es,Transportation & Logistics,Integrated Logistics,150,high,enriched,,SI,SI,
53015467360,Legalion Abogados,,,legalionabogados.com,legalionabogados.com,Professional Services,Legal,10,high,enriched,,SI,SI,
52948409663,Mútua Terrassa,,,mutuaterrassa.es,mutuaterrassa.es,Healthcare & Life Sciences,Clinics & Hospitals,400,high,enriched,,SI,SI,
53008110934,Paloma Blanca Hotel,,,palomablancahotel.es,palomablancahotel.es,Hospitality,Hotels & Accommodation,25,medium,enriched,,SI,SI,
53007957576,Puma Grupo,,,pumagrupo.com,pumagrupo.com,Manufacturing,Materials & Components,750,high,enriched,,SI,SI,
53017187670,Tecnoval mecanizados,,,,tecnovalcnc.com,Manufacturing,Machinery & Equipment,5,high,enriched,,SI,SI,SI
53018263926,Soto Aparicio,,,,sotoaparicio.com,Business Services / BPO,Back Office,22,medium,enriched,,SI,SI,SI
53022697913,Sanitas,,,,sanitas.es,Healthcare & Life Sciences,Clinics & Hospitals,4500,high,enriched,,SI,SI,SI
53011204228,Servicio Murciano De Salud,,,,murciasalud.es,Public Sector & Non-Profit,Public Services,10000,high,enriched,,SI,SI,SI
52950415930,Jalex Pavimentos,,,,jalexpavimentos.com,Construction,Building Construction & Renovation,5,medium,enriched,,SI,SI,SI
53014567464,Compagnia della Bellezza ESPAÑA,,,,compagniadellabellezza.es,Consumer Goods,Personal Care,3,medium,enriched,,SI,SI,SI
53024731257,Bexamel,,,,bexamel.es,Hospitality,Restaurants & Catering,5,medium,enriched,,SI,SI,SI
53014558773,L'atelier 78,,,,atelier78.es,Hospitality,Restaurants & Catering,8,medium,enriched,,SI,SI,SI
53020902557,Altavia,,,,altaviaiberica.es,Media & Entertainment,Advertising & Marketing,78,high,enriched,,SI,SI,SI
53026106181,Alcampo,,,,alcampo.es,Retail,Physical Stores,12000,high,enriched,,SI,SI,SI
53011933876,Arzuma Consultores,,,,,Technology,IT Consulting,8,low,enriched,,SI,SI,
53027661167,Servel Integral Obres Costa Brava,,,,,Construction,Building Construction & Renovation,27,high,enriched,,SI,SI,
53024095513,Electricidad CGR,,,,,Energy & Utilities,Electricity,6,low,enriched,,SI,SI,
52946389592,Tacos bili,,,,,Hospitality,Restaurants & Catering,6,medium,enriched,,SI,SI,
52963267420,LUMINICA ELECTRICIDAD SL,,,,,Energy & Utilities,Electricity,120,high,enriched,,SI,SI,
52959253129,Reggae,,,,,Hospitality,Restaurants & Catering,11,low,enriched,,SI,SI,
52989083803,Soco7,,,soco7.com,soco7.com,,,,low,skip,no info found,,,
53006838609,Supremo Global,,,supremoglobal.com,supremoglobal.com,,,,low,skip,no info found,,,
53024578572,Restaurant L0cal,,,,,,,,low,skip,no info found,,,
53022554267,Artizanale Frends sl,,,,,,,,low,skip,no info found,,,
53003209800,MONKEYMOTION SL,,,,,,,,low,skip,no info found,,,
53021202295,Betavo,,,,,,,,low,skip,no info found,,,
53027183112,top home,,,,,,,,low,skip,too generic,,,
53012529670,La mentirosa,,,,,,,,low,skip,too generic / no info found,,,
53015013215,Artilab2014,,,,,,,,low,skip,no info found,,,
53007932007,En Sector de la hostelería 24 años,,,,,,,,low,skip,test data,,,
53028454742,Cerrajería,,,,,,,,,skip,nombre genérico sin dominio,,,
53016589339,Fiesta Gamble,,,,,,,,,skip,no identificable,,,
53005569924,adificu,,,,,,,,,skip,acrónimo sin info,,,
53025976718,nada,,,,,,,,,skip,test data,,,
53014264691,PRUEBA,,,,,,,,,skip,test data,,,
53018127362,BTA,,,,,,,,,skip,acrónimo sin info,,,
53011041573,K&M,,,,,,,,,skip,nombre genérico sin dominio,,,
53018902413,Puro,,,,,,,,,skip,nombre genérico sin dominio,,,
53004918531,Benyounes Essaali,,,,,,,,,skip,"nombre de persona, no empresa",,,
53025508124,Federació Catalana de Hockey,,,fchockey.org,Media & Entertainment,Events & Culture,30,fchockey.cat,medium,enriched,,,,
53008110934,Paloma Blanca Hotel,,,palomablancahotel.es,Hospitality,Hotels & Accommodation,25,palomablancahotel.es,medium,enriched,,,,
53007957576,Puma Grupo,,,pumagrupo.com,Manufacturing,Materials & Components,750,pumagrupo.com,high,enriched,,,,
53024731257,Bexamel,,,,Hospitality,Restaurants & Catering,5,bexamel.es,medium,enriched,,,,
53011204228,Servicio Murciano De Salud,,,,Public Sector & Non-Profit,Public Services,10000,murciasalud.es,high,enriched,,,,
53024578572,Restaurant L0cal,,,,,,,,low,skip,no info found,,,
53009344409,Aislamientos CEA,,,aislamientoscea.com,Industrial & Facilities Services,Maintenance,16,aislamientoscea.com,high,enriched,,,,
53014567464,Compagnia della Bellezza ESPAÑA,,,,Consumer Goods,Personal Care,3,compagniadellabellezza.es,medium,enriched,,,,
53011933876,Arzuma Consultores,,,,Technology,IT Consulting,8,,low,enriched,,,,
53022554267,Artizanale Frends sl,,,,,,,,low,skip,no info found,,,
53014558773,L'atelier 78,,,,Hospitality,Restaurants & Catering,8,atelier78.es,medium,enriched,,,,
53027661167,Servel Integral Obres Costa Brava,,,,Construction,Building Construction & Renovation,27,,high,enriched,,,,
53017187670,Tecnoval mecanizados,,,,Manufacturing,Machinery & Equipment,5,tecnovalcnc.com,high,enriched,,,,
53020902557,Altavia,,,,Media & Entertainment,Advertising & Marketing,78,altaviaiberica.es,high,enriched,,,,
53024095513,Electricidad CGR,,,,Energy & Utilities,Electricity,6,,low,enriched,,,,
53013314053,Fundación Balia,,,fundacionbalia.org,Public Sector & Non-Profit,Foundations & NGOs,80,fundacionbalia.org,high,enriched,,,,
53026106181,Alcampo,,,,Retail,Physical Stores,12000,alcampo.es,high,enriched,,,,
53026414633,Consolat de Mar,,,consolatdemar.com,Retail,Specialized Trade,7,consolatdemar.com,medium,enriched,,,,
53022697913,Sanitas,,,,Healthcare & Life Sciences,Clinics & Hospitals,4500,sanitas.es,high,enriched,,,,
53021447014,Familia Martinez Bujanda,,,familiamartinezbujanda.com,Consumer Goods,Beverages,50,familiamartinezbujanda.com,high,enriched,,,,
53013619819,GyO,,,gyo.es,Transportation & Logistics,Integrated Logistics,150,gyo.es,high,enriched,,,,
53018263926,Soto Aparicio,,,,Business Services / BPO,Back Office,22,sotoaparicio.com,medium,enriched,,,,
53006838609,Supremo Global,,,supremoglobal.com,,,,supremoglobal.com,low,skip,no info found,,,
53009624863,Enova Energía,,,enovaenerxia.com,Energy & Utilities,Renewables,17,enova-enerxia.com,high,enriched,,,,
53015467360,Legalion Abogados,,,legalionabogados.com,Professional Services,Legal,10,legalionabogados.com,high,enriched,,,,
53003209800,MONKEYMOTION SL,,,,,,,,low,skip,no info found,,,
52983753817,Camping El Naranjal,,,campingelnaranjal.com,Hospitality,Tourism & Leisure,5,campingelnaranjal.com,high,enriched,,,,
52989083803,Soco7,,,soco7.com,,,,soco7.com,low,skip,no info found,,,
52946389592,Tacos bili,,,,Hospitality,Restaurants & Catering,6,,medium,enriched,,,,
52950415930,Jalex Pavimentos,,,,Construction,Building Construction & Renovation,5,jalexpavimentos.com,medium,enriched,,,,
52951039656,Fluidnatek,,,fluidnatek.com,Technology,Hardware,11,fluidnatek.com,high,enriched,,,,
52948409663,Mútua Terrassa,,,mutuaterrassa.es,Healthcare & Life Sciences,Clinics & Hospitals,400,mutuaterrassa.es,high,enriched,,,,
52963267420,LUMINICA ELECTRICIDAD SL,,,,Energy & Utilities,Electricity,120,,high,enriched,,,,
53017826825,(sin nombre),,,bujanda.com,Consumer Goods,Beverages,50,bujanda.com,medium,enriched,,,,
53021202295,Betavo,,,,,,,,low,skip,no info found,,,
53027183112,top home,,,,,,,,low,skip,too generic,,,
53012529670,La mentirosa,,,,,,,,low,skip,too generic / no info found,,,
52959253129,Reggae,,,,Hospitality,Restaurants & Catering,11,,low,enriched,,,,
