record_id,company_name,hs_industry,numberofemployees,domain,lifecyclestage
15257825028,Roig,,,,
15257112736,plhi studio,,,,
15254862668,Pasteleria Ferga,,,,marketingqualifiedlead
15257026856,Michelín,,,,
15256782719,The Cable Guys Eivissa,,,,marketingqualifiedlead
15253386631,INDUMENTARIA VALENCIANA AMPARO Y PAZ SL,,,,
15253324665,Aluman,,,,
15253213450,Vodafone,,,,
15252172302,kostalan Jardineria,,,,marketingqualifiedlead
15251142401,Capsandjars,,,,
15250916894,NombreEmpresa,,,,
15250435895,Ismaelvg,,,,
15248633435,Ismael mendez matos,,,,marketingqualifiedlead
15249844001,Bahía,,,,
15247156312,Bomoso,,,,
15247164775,Prueba 2,,,,
15246896017,Villa de Aranjuez,,,,
15246932376,viajes neptuno,,,,
15246126236,Teleperformance Group,,,,marketingqualifiedlead
15246201716,Láserum,,,,
15245975305,CCCC SL,,,,
15245863964,rotativos.com,,,rotativos.com,lead
15244668707,SPEIX /AMEV,,,,marketingqualifiedlead
15243374925,h2site.com,,,h2site.com,lead
15243266096,SABORES,,,,
15243203512,Joyería STAR,,,,
15243195299,Cristalcar,,,,
15243086701,Diversport,,,,
15242959538,Cmbao,,,,
15242941768,Viajando libre,,,,marketingqualifiedlead
15241954634,The Red Flats,,,,marketingqualifiedlead
15241568581,Corporacion Apoya,,,,marketingqualifiedlead
15239722678,Carmen Talegona,,,,
15239598495,civicbarceloneta.com,,5000,civicbarceloneta.com,marketingqualifiedlead
15238441342,DIMENSION SL,,,,
15238214958,Silviabb,,,,
15238176625,Evolution,,,,marketingqualifiedlead
15238166096,arcasagrup.com,,1000,arcasagrup.com,marketingqualifiedlead
15238232481,Medina,,,,
15238093904,Aire Europa,,,,
15238128281,Covirán,,,,
15237325148,AlbaStarVA,,,,
15237678199,"Puebla De Don Rodrigo, Castilla-La Mancha, Spain",,,,marketingqualifiedlead
15237621673,Luchi,,,,
15237134729,Loeches,,,,marketingqualifiedlead
15237409565,.,,,,
15236210975,Ilunion,,,,
15236524934,edificacionyviales.com,,50,edificacionyviales.com,lead
15235818860,Filomena Vargas,,,,
15235647860,Dia,,,,
15235448190,Decoarte.Ibiza,,,,marketingqualifiedlead
15233818225,N L R MENSAJEROS SL,,10,nlrmensajeros.com,marketingqualifiedlead
15233221293,Decarga,,,decarga.com,lead
15233041776,Prueab,,,,
15232723528,gastrodon s l,,,,marketingqualifiedlead
15232421211,Mayelin,,,,
15232357523,EUROPROPS SERVICES SL,,,,
15232411755,"Laminados Careva, S.L.",,,,marketingqualifiedlead
15232426808,casi-cooperativa-agraria,,,,marketingqualifiedlead
15232308871,AnyTech365,,,,marketingqualifiedlead
15231972528,Enhebra,,,,marketingqualifiedlead
15231930171,Talent Way,,,,marketingqualifiedlead
15232152127,aborigen,,,,marketingqualifiedlead
15231836170,Lum Magnetic,,,,
15232038144,Apartamentos Ses Bledas,,,,marketingqualifiedlead
15231296304,ANICURA,,,,
15229750345,It,,,,
15231107759,Ouail,,,,
