Expediente,Órgano contratante,Tipo organismo,Objeto del contrato,CPV,Importe (€),Estado,Fecha límite,Días restantes,Prioridad,Enlace expediente,Detectada el,Notas del agente,Revisado,Asignado a,Notas comerciales
PLI-02522.2,ENUSA Industrias Avanzadas,Otro organismo público,"Suministro, implantación y puesta en servicio de una plataforma de firma electrónica",48451000,39085,Resuelta,2026-06-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19900177,2026-09-17,Encaje directo por código CPV,,,
A35-0926,Compañía (Unidad de Medios Internos),Otro organismo público,Solución para el cumplimiento de envío al Suministro Inmediato de Información,48440000,48400,Abierta,2026-10-13,26,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20434696,2026-09-17,Encaje directo por código CPV,,,
F-0007-26(F)-AB,FORTA,Otro organismo público,Asesoramiento y consultoría en Gestión de Recursos Humanos,79414000,45980,Abierta,2026-09-30,13,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20416844,2026-09-17,Detectada por el texto del objeto,,,
SUM-01-2026,Fundación Universidad Pablo de Olavide,Universidad,"Licencias, implantación, integraciones y migración",48451000,102028,En evaluación,2026-07-23,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20000976,2026-09-17,Encaje directo por código CPV,,,
2298/2026,Ayuntamiento de Vinarós,Ayuntamiento,"Suministro, implantación y mantenimiento del sistema de gestión de nómina y RRHH",72268000,276788,Abierta,2026-09-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20356553,2026-09-17,Detectada por el texto del objeto,,,
CON21-2025/0418,Ayuntamiento de Logroño,Ayuntamiento,"Sistema para la gestión de RRHH, nómina, presupuesto y contabilidad",48900000,580256,Adjudicada,2026-03-02,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18934459,2026-09-17,Detectada por el texto del objeto,,,
SGES.PLG.26.001-1.0,SEPIDES Gestión,Otro organismo público,"Gestión de nóminas, seguridad social, contratación e IRPF",79631000,4840,Abierta,2026-09-28,11,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20435273,2026-09-17,Encaje directo por código CPV,,,
MY25/ASIC/SE/56,Universitat Politècnica de València,Universidad,Mantenimiento de UNIVERSITAS XXI - Recursos Humanos y servicios gestionados,72267100,882417,Resuelta,2025-11-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18735842,2026-09-17,Detectada por el texto del objeto,,,
CEA3936/2026,Racionalización y Centralización de la Contratación,Otro organismo público,Mantenimiento de aplicaciones de gestión económica y de personal,72000000,476334,Adjudicada,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20435337,2026-09-17,Detectada por el texto del objeto,,,
35397/26,CSIC,Otro organismo público,Apoyo a la gestión de la plataforma de teleformación,72514000,73631,Abierta,2026-09-14,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20139057,2026-09-17,Detectada por el texto del objeto,,,
